persona,canale,data_ingresso,data_prima_pratica,data_ultima_pratica,pratiche_totali,pratiche_prescritte_giorno,pagato_eur,rinnovo,referral,interazioni_tutor,motivo_uscita,qualita_dato
W01,instagram,2021-03-21,,,,5,47,,0,,,misurato
W02,passaparola,2021-03-26,,,,5,47,,0,,,misurato
W03,passaparola,2021-03-05,,,,5,47,,0,,,misurato
W04,passaparola,2021-03-24,,,,5,47,,0,,,misurato
W05,instagram,2021-04-28,,,,5,47,,0,,,misurato
W06,passaparola,2021-03-03,,,,5,47,,0,,,misurato
W07,newsletter,2021-03-28,,,,5,0,,0,,,misurato
W08,instagram,2021-03-05,,,,5,0,,0,,,misurato
W09,newsletter,2021-03-06,,,,5,0,,0,,,misurato
W10,passaparola,2021-03-04,2021-03-05,2021-03-08,6,5,0,,0,6,non avevo tempo,misurato
W11,passaparola,2021-03-15,2021-03-16,2021-03-24,11,5,67,,0,,,misurato
W12,instagram,2021-03-20,2021-03-20,2021-03-22,4,5,0,,0,3,non avevo tempo,misurato
W13,passaparola,2021-04-05,2021-04-05,2021-04-06,2,5,67,,0,6,mi ero dimenticato,misurato
W14,newsletter,2021-03-30,2021-04-01,2021-04-09,10,5,0,,0,1,non avevo tempo,ricostruito
W15,studio,2021-04-06,2021-04-09,2021-04-11,5,5,47,,0,,non avevo tempo,misurato
W16,newsletter,2021-04-02,2021-04-03,2021-04-05,3,5,47,,0,6,non avevo tempo,misurato
W17,passaparola,2021-04-12,2021-04-14,2021-04-16,5,5,67,,0,6,,misurato
W18,newsletter,2021-04-21,2021-04-21,2021-04-23,5,5,47,,0,,non avevo tempo,misurato
W19,studio,2021-04-16,2021-04-19,2021-04-27,14,5,47,,0,,non sentivo niente,misurato
W20,instagram,2021-03-23,2021-03-23,2021-03-25,3,5,47,,0,1,troppo da fare ogni giorno,misurato
W21,newsletter,2021-03-26,2021-03-29,2021-03-31,3,5,47,,0,3,troppo da fare ogni giorno,ricostruito
W22,newsletter,2021-04-22,2021-04-24,2021-04-26,4,5,47,,0,6,troppo da fare ogni giorno,misurato
W23,passaparola,2021-03-10,2021-03-11,2021-03-14,4,5,0,,0,,non sentivo niente,misurato
W24,instagram,2021-04-23,2021-04-25,2021-05-03,8,5,47,,0,3,,misurato
W25,studio,2021-04-06,2021-04-07,2021-04-09,5,5,67,,0,,non sentivo niente,misurato
W26,newsletter,2021-04-27,2021-04-30,2021-05-01,3,5,47,,0,6,non avevo tempo,misurato
W27,passaparola,2021-03-13,2021-03-14,2021-03-17,4,5,47,,0,,non avevo tempo,misurato
W28,instagram,2021-03-01,2021-03-01,2021-03-04,6,5,0,,0,1,,ricostruito
W29,instagram,2021-03-25,2021-03-27,2021-03-30,6,5,47,,0,,non avevo tempo,misurato
W30,newsletter,2021-04-24,2021-04-27,2021-04-29,4,5,0,,0,1,non avevo tempo,misurato
W31,studio,2021-04-17,2021-04-19,2021-04-21,5,5,0,,0,,troppo da fare ogni giorno,misurato
W32,studio,2021-04-30,2021-05-01,2021-05-03,4,5,0,,0,3,non avevo tempo,misurato
W33,studio,2021-04-14,2021-04-16,2021-06-12,59,5,67,,0,1,,misurato
W34,instagram,2021-04-09,2021-04-10,2021-08-27,174,5,67,si,1,3,,misurato
W35,passaparola,2021-04-16,2021-04-16,2021-06-24,68,5,67,si,0,6,,ricostruito
W36,studio,2021-04-21,2021-04-23,2021-06-02,38,5,67,,0,1,,misurato
W37,passaparola,2021-03-31,2021-04-03,2021-05-17,45,5,47,,0,6,,misurato
W38,instagram,2021-04-20,2021-04-23,2021-06-19,62,5,67,si,1,6,,misurato
W39,passaparola,2021-03-26,2021-03-27,2021-05-23,81,5,47,si,1,1,,misurato
W40,newsletter,2021-04-09,2021-04-11,2021-06-07,65,5,67,si,0,1,,misurato
W41,instagram,2021-03-28,2021-03-29,2021-05-01,32,5,67,,0,3,,misurato
W42,newsletter,2021-04-04,2021-04-05,2021-05-08,46,5,67,,1,1,,ricostruito
W43,instagram,2021-04-04,2021-04-04,2021-06-05,80,5,47,,0,1,,misurato
W44,newsletter,2021-03-10,2021-03-10,2021-06-05,74,5,97,,0,,,misurato
W45,instagram,2021-03-16,2021-03-18,2021-04-20,43,5,97,,0,6,,misurato
